1409, 금, 4 5 6 7 8 9
1410, 금, 1 2 3 7 8 9
1411, 금, 5 6 7 8 9
1501, 금, 1 2 3 4 5 6 7 8 9
1502, 금, 1 2 7 8 9
1503, 금, 9
1504, 금, 5 6 7 8 9
1505, 금, 5 6 7 8 9
1506, 금, 1 2 3 4 7 8 9
1507, 금, 7 8 9
1509, 금, 9
1510, 금, 1 2 3 4 5 6 7 8 9
1511, 금, 1 2 3 4 5 6 7 8
1512, 금, 5 6 7 8 9
1513, 금, 7 8 9
1514, 금, 5 6 7 8 9
2201, 금, 3 4 7 8 9
2213, 금, 1 2 7 8 9
2214, 금, 
2301, 금, 1 2 3 4 7 8 9
2302, 금, 1 2 3 7 8 9
2303, 금, 9
2305, 금, 7 8 9
2306, 금, 7 8 9
2307, 금, 1 2 7 8 9
2308, 금, 1 2 3 7 8 9
2309, 금, 1 2 5 6 9
2310, 금, 1 2 3 4 7 8 9
2311, 금, 1 2 7 8 9
2312, 금, 1 2 7 8 9
2313, 금, 1 2 3 4 7 8 9
2314, 금, 4 5 6 7 8 9
2315, 금, 1 2 7 8 9
2401, 금, 1 2 3 4 5 6 7 8 9
2402, 금, 1 2 5 6 7 8 9
2403, 금, 1 2 3 4 5 6 7 8 9
2404, 금, 1 2 3 4 7 8 9
2406, 금, 4 7 8 9
2407, 금, 1 2 3 7 8 9
2408, 금, 9
2409, 금, 1 2 3 4 5 6 7 8 9
2410, 금, 1 2 3 4 5 6 7 8 9
2411, 금, 1 2 3 4 5 6 7 8 9
2412, 금, 4 8 9
2413, 금, 1 2 3 4 5 6 7 8 9
2414, 금, 7 8 9
2415, 금, 1 2 3 4 5 6 7 8 9
2416, 금, 1 2 3 4 5 6 7 8 9
2417, 금, 1 2 3 4 7 8 9
2501, 금, 1 2 3 4 5 6 7 8 9
2502, 금, 3 4 9
2503, 금, 9
2504, 금, 7 8 9
2506, 금, 1 2 7 8 9
2507, 금, 1 2 3 4 5 6 7 8 9
2508, 금, 1 2 3 4 5 6 7 8 9
2509, 금, 7 8 9
2510, 금, 1 2 3 4 5 6 7 8 9
2511, 금, 1 2 3 4 5 6 7 8 9
2512, 금, 1 2 3 4 5 6 7 8 9
2513, 금, 1 2 3 4 5 6 7 8 9
2514, 금, 1 2 3 4 5 6 7 8 9
2515, 금, 1 2 3 4 5 6 7 8 9
2516, 금, 1 2 3 4 5 6 7 8 9
2517, 금, 1 2 3 4 5 6 7 8 9
3112, 금, 1 2 3 4 5 6 7 8 9
3114, 금, 1 2 3 4 5 6 7 8 9
3118, 금, 1 2 5 6 7 8 9
3310, 금, 4 5 6 7 8 9
3311, 금, 4 9
3315, 금, 1 2 3 4 5 6 7 8 9
