1301, 금, 1 2 3 4 5 6 7 8 9
1302, 금, 1 2 7 8 9
1303, 금, 1 2 3
1304, 금, 1 2 3
1305, 금, 3 4
1306, 금, 1 2 3 4 5 6
1307, 금, 1 2
1308, 금, 3 4 5 6
1310, 금, 1 2 3 4
1401, 금, 9
1402, 금, 1 2 3 4 5 6 7 8 9
1403, 금, 1 2 7 8 9
1404, 금, 
1405, 금, 9
1406, 금, 
1407, 금, 9
1408, 금, 9
1409, 금, 9
1501, 금, 5 6
1502, 금, 1 2
1503, 금, 4 5 6 7 8 9
1504, 금, 1 2 7 8 9
1505, 금, 9
1506, 금, 5 6 9
1507, 금, 1 2 3 7 8 9
1508, 금, 9
1509, 금, 5 6
1601, 금, 9
1602, 금, 1 2 3 4 5 6
1603, 금, 1 2 3 9
1604, 금, 5 6 9
1605, 금, 9
1606, 금, 
1607, 금, 1 2 7 8 9
1608, 금, 9
1609, 금, 1 2 3 4 5 6
2000, 금, 1 2 3 4 5 6 7 8 9
2105, 금, 1 2 3
2201, 금, 1 2 3 4 5 6 7 8 9
2202, 금, 
2203, 금, 
2204, 금, 9
2205, 금, 1 2 3 9
2207, 금, 1 2 3 4 5 6 9
2208, 금, 1 2 3
2209, 금, 7 8 9
2210, 금, 1 2 9
2401, 금, 1 2 5 6 9
2402, 금, 9
2403, 금, 1 2 5 6 7 8 9
2404, 금, 3 4 9
2405, 금, 5 6 9
2407, 금, 1 2 3 4 9
2408, 금, 7 8 9
2409, 금, 1 2 3 4 9
2502, 금, 
2505, 금, 1 2 3 4 7 8 9
2506, 금, 7 8 9
2507, 금, 1 2
2508, 금, 1 2 3 4 7 8 9
2509, 금, 
2601, 금, 1 2 7 8 9
2602, 금, 1 2 3 4 8 9
2604, 금, 1 2 3 4 7 8 9
2605, 금, 3 4 9
2608, 금, 1 2 3 4 5 6 7 8 9
3106, 금, 9
3201, 금, 1 2 3 4 5 6 7 8 9
3202, 금, 1 2 7 8 9
3203, 금, 1 2 3 4 5 6 9
3204, 금, 3 4 5 6
3205, 금, 1 2 5 6
3206, 금, 1 2 3
3207, 금, 4
3301, 금, 7 8 9
3302, 금, 1 2 3 7 8 9
3303, 금, 7 8 9
3304, 금, 7 8 9
3305, 금, 9
3306, 금, 
3307, 금, 3 4 5 6 7 8 9
3308, 금, 
3401, 금, 
3402, 금, 1 2 5 6 7 8 9
3403, 금, 
3404, 금, 7 8 9
3405, 금, 
3406, 금, 7 8 9
3407, 금, 1 2 3 7 8 9
3408, 금, 
3409, 금, 
3501, 금, 7 8 9
3502, 금, 7 8
3503, 금, 
3504, 금, 7 8 9
3505, 금, 1 2 3 4 7 8 9
3506, 금, 7 8 9
3507, 금, 7 8 9
3508, 금, 4 7 8 9
3509, 금, 1 2 3 4 5 6
5001, 금, 1 2 3 9
5003, 금, 1 2 3 4 5 6 7 8 9
5101, 금, 1 2 3 4 5 6 7 8 9
5601, 금, 1 2 3 4 5 6 7 8 9
5701, 금, 1 2 3 4 5 6 7 8 9
5801, 금, 1 2 5 6 7 8 9
6105, 금, 1 2 3 4 5 6 7 8 9
6226, 금, 1 2 3 4 5 6 9
6411, 금, 1 2 3 4 5 6 7 8 9
6502, 금, 5 6 7 8 9
6503, 금, 1 2
6504, 금, 5 6 7 8 9
7208, 금, 1 2 3 4 7 8 9
C301, 금, 
C302, 금, 1 2 3 7 8 9
C303, 금, 1 2 3 4 5 6 7 8 9
C304, 금, 
C305, 금, 5 6 7 8 9
C306, 금, 1 2 9
C307, 금, 5 6 7 8 9
C308, 금, 7 8 9
C309, 금, 4 5 6 7 8 9
C310, 금, 1 2 3 4 5 6 7 8 9
C311, 금, 1 2 3
C401, 금, 
C402, 금, 1 2 3 4 5 6 7 8 9
C405, 금, 1 2
C406, 금, 1 2 5 6 9
C407, 금, 4 9
C408, 금, 1 2 3
C409, 금, 1 2 3 4 5 6 7 8 9
C412, 금, 
C413, 금, 1 2 3
C501, 금, 1 2 3 7 8 9
C514, 금, 
C515, 금, 
0115, 토, 1 2 3 4 5 6 7 8 9
0116, 토, 1 2 3 4 5 6 7 8 9
0117, 토, 1 2 3 4 5 6 7 8 9
01202, 토, 1 2 3 4 5 6 7 8 9
